id_company;creation_time_company;address;zip;country;phone;email;company_name;auto_published
5993509db7257;2017-08-15 19:50:53;1234 Placeholder Ave;34786;United States;3032432258;tkelly@p1.media;FansTV.org;0
59f206df21712;2017-10-26 16:01:35;13276 E Fremont Pl;80112;United States;3033397334;tkelly@weathernationtv.com;OMG Live;1
5a21c85883c22;2017-12-01 21:23:36;4193 Newcomb Rd Decatur, GA;30034;United States;7777777777;ryankilgoremusic@gmail.com;Ryan Kilgore Music;0
5a21c8a80770a;2017-12-01 21:24:56;2627 Paces Rdg Apt J Atlanta, GA;30339;United States;7777777777;aaronmasonready4success@gmail.com;Rhythm & Christian - R&C;0
5a21c8de8196d;2017-12-01 21:25:50;3028 Sable Run Rd Atlanta, GA;30349;United States;7777777777;marvinmumfordmusic@gmail.com;Marvin Mumford Music;0
5a21c927e4204;2017-12-01 21:27:04;3075 Veterans Highway, Suite 131 Ronkonkoma, NY;11779;United States;7777777777;harry@gvpdigitalmedia.com;GVP Media Group;0
5a21e0edaa9ee;2017-12-01 23:08:29;1209 Castle Cove Lane Keller, TX;7626;United States;7777777777;chelsea@lancelearning.com;Lance Wallnau Ministires;0
5a5659a7615b1;2018-01-10 18:21:27;1234 Main Street;38103;United States;7196856117;taylorutt32@gmail.com;Taylor Utt's Company;0
5a57e803110a9;2018-01-11 22:41:07;239 N Loop 1604 W, San Antonio, TX;78232;United States;2104943900;Jason.madding@jhm.org;John Hagee Ministries;0
5a6b89462bbc4;2018-01-26 20:02:14;N/A;80112;United States;8172356169;Randy@crossculturemediagroup.com;Life Today;0
5a6b8a27c2144;2018-01-26 20:06:00;Not Available;80112;United States;7706541853;Brian.Smith@FreeChapel.org;Free Chapel;0
5a6ba86641e1b;2018-01-26 22:15:02;PO Box 25938 Greenville, SC;29616;United States;8643463342;jhayes@RonCarpenter.com;Ron Carpenter Ministries;0
5a6bb34de2d77;2018-01-26 23:01:34;Not Available;80112;United States;6199881319;Thompson@MandateRecords.com;Mandate Records;0
5a70e20cc72af;2018-01-30 21:22:21;NOT AVAILABLE;80112;United States;2256254050;Jamie@Bethany.com;Bethany Church;0
5a724e543bb95;2018-01-31 23:16:36;Not Available;80112;United States;7276423918;Snicotra@paulawhite.org;Paula White Ministries;0
5a74e51a9df5d;2018-02-02 22:24:26;4301 Westinghouse Blvd., Charlotte, NC;28273;United States;9404643748;awinfrey@newtonmedia.com;Sid Roth Ministries;0
5a78d5c6098cd;2018-02-05 22:08:06;500 S Nolen, Ste 300, Southlake Texas;76092;United States;8173281000;media.admin@gatewaystaff.com;Gateway Church;0
5a7e0b70ec79e;2018-02-09 20:58:25;Not Available;80112;United States;7194873300;Abevere@Messengerinternational.org;Messenger International;0
5a85b0c31bb44;2018-02-15 16:09:39;2435 N. Central Expy, Ste #100;75080;United States;4699306800;elliott@nflmg.com;NFL MG;0
5a96d1c60d288;2018-02-28 15:59:02;1010 Taylor Station Rd, Suite E, Columbus, OH;43205;United States;6143101300;stationdrop@captionlabs.com;Caption Labs;0
5aabd8f37f73e;2018-03-16 14:47:15;DO NOT DELETE THIS COMPANY ITS NEEDED FOR THE APPS;0;United States;0000000000;testezz@gmail.com;User's Content Generated;0
5aafe5d4a1cb7;2018-03-19 16:31:17;8500 Teel Pkwy;75034;United States;2143879833;clayj@elevatelife.com;Elevate Life Church;0
5ac62a565ffa7;2018-04-05 13:53:26;13276 E Fremont PlCentennial, CO;80112;United States;3033397334;tkelly@p1.media;Americas Voice;1
5af1d5219af35;2018-05-08 16:49:37;Test;12345;United States;7196856117;damon@bonkotv.com;Live From Studio 6B;1
5afb23231aff1;2018-05-15 18:12:51;8336 Garnet Canyon LaneLas Vegas, NV;89129;United States;9255192222;Mark@PatriotandPreacherShow.com;Patriot and Preacher Show LLC;0
5afb236e237d8;2018-05-15 18:14:06;8336 Garnet Canyon LaneLas Vegas, NV;89129;United States;3107705114;BViviano@AVoiceNews.com;Dumb Blonde, Inc.;0
5afef74fd911b;2018-05-18 15:54:56;N/A;80112;United States;2489820686;ashley@kindakind.com;Kinda Kind;0
5afef8c6c8a85;2018-05-18 16:01:11;N/A;80112;United States;7043691242;billmitchell@yourvoiceamerica.tv;YourVoice America;1
5afef978b8e23;2018-05-18 16:04:08;N/A;80112;United States;3232510416;CGBladt@gmail.com;Trump Report;0
5afef9bb21ae6;2018-05-18 16:05:15;N/A;N/A;United States;4434786281;wayne.dupree@outloook.com;Wayne Dupree Show;1
5afefa32305fb;2018-05-18 16:07:14;N/A;N/A;United States;3055283552;TheEdwardWoodsonShow@gmail.com;The Ed Woodson Show;0
5afefa3d09002;2018-05-18 16:07:25;N/A;80112;United States;80527921012;Dave@WhiskeyPolitics.net;Whiskey Politics;1
5afefae0d0581;2018-05-18 16:10:09;N/A;N/A;United States;7347883686;TGM@McCotterrocks.com;Drain the Swamp;0
5afefb75007c4;2018-05-18 16:12:37;N/A;N/A;United States;3149544522;stacyontheright@gmail.com;Stacy on the Right;0
5afefc0b247eb;2018-05-18 16:15:07;N/A;N/A;United States;8178790113;ron@theconservativecartel.com;Marketplace of Liberty;0
5afefc7e774f4;2018-05-18 16:17:02;N/A;N/A;United States;3102663939;ROHara@AVoiceNews.com;Stephen Baldwin Show;0
5afefd1886a8f;2018-05-18 16:19:36;N/A;N/A;United States;2146997670;Kidsalcedo@yahoo.com;The Chris Salcedo Show;0
5afefd8444c6a;2018-05-18 16:21:24;N/A;N/A;United States;6613131978;joe@therealside.com;The Real Side;0
5afeff3ee33d0;2018-05-18 16:28:47;N/A;N/A;United States;8183576873;Evan.Sayet@gmail.com;Sayet Right;0
5aff00140a22f;2018-05-18 16:32:20;N/A;80112;United States;3107705114;DiamondandSilk@gmail.com;Diamond and Silk;0
5b04440f27b5c;2018-05-22 16:23:43;N/A;N/A;United States;7604085390;TheZoLoft@BronzeSerpentMedia.com;Alfonso Rachel;0
5b04454292f0a;2018-05-22 16:28:50;N/A;N/A;United States;5622424760;PoliticsAndProfits@gmail.com;Politics and Profits;0
5b04462f687cf;2018-05-22 16:32:47;N/A;N/A;United States;5622424760;GetRealLydie@gmail.com;Time To Get Real;0
5b04476755008;2018-05-22 16:37:59;N/A;N/A;United States;2059145203;AmandaClaireHead@Gmail.com;Head's Up;0
5b04482ba31c3;2018-05-22 16:41:15;N/A;N/A;United States;7604085390;BibleTrippin@BronzeSerpentMedia.com;Bible Trippin;0
5b044cf15af38;2018-05-22 17:01:37;N/A;N/A;United States;5613794353;ff@yourvoiceamerica.tv;Faith and Freedom;0
